config,metric,mean,max,std
A,accuracy,0.5962264150943395,0.5962264150943396,1.1292025708167404e-16
A,balanced_accuracy,0.5,0.5,0.0
A,auc,0.5065144524626365,0.572429906542056,0.03922675321243922
A,precision,0.5962264150943395,0.5962264150943396,1.1292025708167404e-16
A,recall,1.0,1.0,0.0
A,f1,0.7470449172576831,0.7470449172576832,1.1292025708167404e-16
B,accuracy,0.5962264150943395,0.5962264150943396,1.1292025708167404e-16
B,balanced_accuracy,0.5,0.5,0.0
B,auc,0.5467575614180371,0.5885188690405774,0.04480333615102303
B,precision,0.5962264150943395,0.5962264150943396,1.1292025708167404e-16
B,recall,1.0,1.0,0.0
B,f1,0.7470449172576831,0.7470449172576832,1.1292025708167404e-16
C,accuracy,0.6766037735849056,0.7056603773584905,0.020837947505050088
C,balanced_accuracy,0.6552910209393112,0.6849934934342836,0.01769093468183033
C,auc,0.7133581765842502,0.7470720454276588,0.01491119032783512
C,precision,0.7133749917999854,0.74375,0.014468033437736711
C,recall,0.7660337552742618,0.8670886075949367,0.05304395221937042
C,f1,0.7377650912738533,0.7719298245614035,0.02462532096592978
D,accuracy,0.670188679245283,0.7056603773584905,0.02017830925639684
D,balanced_accuracy,0.6633355021885722,0.7064060097006979,0.03477718214316365
D,auc,0.7155329468827635,0.7392050159706615,0.04708020193751357
D,precision,0.7396615327623235,0.7846153846153846,0.033776160522472565
D,recall,0.6989451476793248,1.0,0.06676795407859455
D,f1,0.7157383928927399,0.7470449172576832,0.017766084314492944
E,accuracy,0.6630188679245284,0.6867924528301886,0.015099218469816041
E,balanced_accuracy,0.6551608896249852,0.6750561930675499,0.011287684440264106
E,auc,0.7167928546078315,0.7325801490595055,0.00858958356738289
E,precision,0.7277462935431512,0.7642276422764228,0.012766377483849034
E,recall,0.6959915611814346,0.7848101265822784,0.04640473840255167
E,f1,0.7104857780831076,0.7447447447447447,0.022399491327526756
F,accuracy,0.6394968553459119,0.6792452830188679,0.030939481691129367
F,balanced_accuracy,0.6383512756812176,0.6752040695611026,0.020878334828079822
F,auc,0.7059298473914588,0.7215781379391932,0.008302517478210834
F,precision,0.7219791640169114,0.7482993197278912,0.01516495914173939
F,recall,0.6443037974683545,0.7721518987341772,0.08513167316456625
F,f1,0.6776777195513083,0.7329192546583851,0.049419135675895155
