config,metric,mean,max,std
A,accuracy,0.5641025641025641,0.5641025641025641,0.0
A,balanced_accuracy,0.5,0.5,0.0
A,auc,0.4992814171122994,0.5491310160427808,0.031417967466321584
A,precision,0.5641025641025641,0.5641025641025641,0.0
A,recall,1.0,1.0,0.0
A,f1,0.7213114754098364,0.7213114754098361,3.387607712450221e-16
B,accuracy,0.5162393162393162,0.5641025641025641,0.06047970490619199
B,balanced_accuracy,0.49339349376114083,0.5200534759358288,0.01664764857669947
B,auc,0.5314143270944742,0.5615808823529411,0.029226144693968538
B,precision,0.5537886701590168,0.6666666666666666,0.041624405027925124
B,recall,0.6715909090909091,1.0,0.41006230455433834
B,f1,0.5380339363281563,0.7213114754098361,0.2301604349064512
C,accuracy,0.5442307692307692,0.5897435897435898,0.02029546090937013
C,balanced_accuracy,0.5558043672014261,0.6129679144385026,0.02113502741983922
C,auc,0.590625,0.6151403743315508,0.014510038487003529
C,precision,0.6326761680632274,0.7307692307692307,0.032949878012664365
C,recall,0.465530303030303,0.625,0.05986972692878126
C,f1,0.5334933811430205,0.632183908045977,0.03677655839989954
D,accuracy,0.5724358974358975,0.6282051282051282,0.01624736099928017
D,balanced_accuracy,0.5376336898395722,0.6336898395721926,0.05136237909884659
D,auc,0.5407141265597147,0.6719585561497325,0.09119796928553488
D,precision,0.6131103396020563,0.7954545454545454,0.06904018398878871
D,recall,0.8090909090909091,1.0,0.2588109635381294
D,f1,0.6636276109069741,0.7213114754098361,0.08178262405653305
E,accuracy,0.5920940170940171,0.6474358974358975,0.019738603677976866
E,balanced_accuracy,0.5991198752228164,0.6524064171122994,0.019511129793970825
E,auc,0.6575506907308378,0.6737967914438502,0.010884079431328495
E,precision,0.671103587906232,0.72,0.02158455354513523
E,recall,0.5443181818181818,0.6136363636363636,0.039291196095615495
E,f1,0.6002392001693657,0.6625766871165644,0.027043458908596166
F,accuracy,0.5713675213675216,0.6282051282051282,0.02025236205431007
F,balanced_accuracy,0.5887700534759358,0.6470588235294117,0.02004686718811443
F,auc,0.6410594919786097,0.6893382352941178,0.02022786624011838
F,precision,0.6827178603617859,0.7777777777777778,0.033718202477261504
F,recall,0.45303030303030295,0.5454545454545454,0.05235047146711208
F,f1,0.5422975235555739,0.6027397260273972,0.0373685500573813
