config,model,seed,run,dataset,accuracy,balanced_accuracy,auc,precision,recall,f1,rmse,mae,r2,val_accuracy
A,tkan,0,0,kotekar,0.564102564,0.5,0.48980615,0.564102564,1,0.721311475,0.406009291,0.331835538,-0.012508392,0.6
A,tkan,1,1,kotekar,0.564102564,0.5,0.520053476,0.564102564,1,0.721311475,0.403610679,0.324890494,-0.000580311,0.6
A,tkan,2,2,kotekar,0.564102564,0.5,0.437667112,0.564102564,1,0.721311475,0.407222062,0.333910912,-0.018566251,0.6
A,tkan,3,3,kotekar,0.564102564,0.5,0.477189171,0.564102564,1,0.721311475,0.403797578,0.32706821,-0.001507282,0.6
A,tkan,4,4,kotekar,0.564102564,0.5,0.533923797,0.564102564,1,0.721311475,0.407942255,0.335020423,-0.022172213,0.6
A,tkan,5,5,kotekar,0.564102564,0.5,0.447610294,0.564102564,1,0.721311475,0.403480276,0.32570383,6.60E-05,0.6
A,tkan,6,6,kotekar,0.564102564,0.5,0.474849599,0.564102564,1,0.721311475,0.403521952,0.326062262,-0.000140429,0.6
A,tkan,7,7,kotekar,0.564102564,0.5,0.540775401,0.564102564,1,0.721311475,0.403994406,0.323952198,-0.002483845,0.6
A,tkan,8,8,kotekar,0.564102564,0.5,0.541610963,0.564102564,1,0.721311475,0.408090822,0.335233539,-0.022916794,0.6
A,tkan,9,9,kotekar,0.564102564,0.5,0.500417781,0.564102564,1,0.721311475,0.40382245,0.32720077,-0.001630664,0.6
A,tkan,10,10,kotekar,0.564102564,0.5,0.518131684,0.564102564,1,0.721311475,0.403858205,0.327366203,-0.001807928,0.6
A,tkan,11,11,kotekar,0.564102564,0.5,0.450868984,0.564102564,1,0.721311475,0.403539363,0.325829148,-0.000226736,0.6
A,tkan,12,12,kotekar,0.564102564,0.5,0.51779746,0.564102564,1,0.721311475,0.403552231,0.325086027,-0.000290513,0.6
A,tkan,13,13,kotekar,0.564102564,0.5,0.461229947,0.564102564,1,0.721311475,0.408989382,0.336707354,-0.027426362,0.6
A,tkan,14,14,kotekar,0.564102564,0.5,0.482787433,0.564102564,1,0.721311475,0.407876299,0.334898829,-0.021841645,0.6
A,tkan,15,15,kotekar,0.564102564,0.5,0.453459225,0.564102564,1,0.721311475,0.403491947,0.325489074,8.23E-06,0.6
A,tkan,16,16,kotekar,0.564102564,0.5,0.523061497,0.564102564,1,0.721311475,0.404159246,0.328046739,-0.003302097,0.6
A,tkan,17,17,kotekar,0.564102564,0.5,0.490725267,0.564102564,1,0.721311475,0.403561776,0.324969321,-0.000337839,0.6
A,tkan,18,18,kotekar,0.564102564,0.5,0.549131016,0.564102564,1,0.721311475,0.405516347,0.330919862,-0.01005125,0.6
A,tkan,19,19,kotekar,0.564102564,0.5,0.52473262,0.564102564,1,0.721311475,0.406156639,0.332053751,-0.013243437,0.6
A,tkan,20,20,kotekar,0.564102564,0.5,0.538268717,0.564102564,1,0.721311475,0.40444715,0.328774422,-0.004732013,0.6
A,tkan,21,21,kotekar,0.564102564,0.5,0.507520053,0.564102564,1,0.721311475,0.403596649,0.324838072,-0.000510812,0.6
A,tkan,22,22,kotekar,0.564102564,0.5,0.518215241,0.564102564,1,0.721311475,0.403630929,0.326617181,-0.000680804,0.6
A,tkan,23,23,kotekar,0.564102564,0.5,0.497242647,0.564102564,1,0.721311475,0.403535818,0.326053798,-0.000209212,0.6
A,tkan,24,24,kotekar,0.564102564,0.5,0.487466578,0.564102564,1,0.721311475,0.403776156,0.327095091,-0.001400948,0.6
A,tkan,25,25,kotekar,0.564102564,0.5,0.492981283,0.564102564,1,0.721311475,0.41028898,0.338137269,-0.033966184,0.6
A,tkan,26,26,kotekar,0.564102564,0.5,0.528826872,0.564102564,1,0.721311475,0.409896823,0.337688029,-0.031990767,0.6
A,tkan,27,27,kotekar,0.564102564,0.5,0.518549465,0.564102564,1,0.721311475,0.405684077,0.331360608,-0.010886908,0.6
A,tkan,28,28,kotekar,0.564102564,0.5,0.496991979,0.564102564,1,0.721311475,0.40718093,0.333850741,-0.018360496,0.6
A,tkan,29,29,kotekar,0.564102564,0.5,0.456550802,0.564102564,1,0.721311475,0.403797043,0.327247262,-0.00150454,0.6
B,tkan,0,0,kotekar,0.435897436,0.478275401,0.538101604,0.5,0.147727273,0.228070175,0.409636104,0.338269919,-0.030678272,0.625806452
B,tkan,1,1,kotekar,0.461538462,0.512700535,0.555314171,0.625,0.113636364,0.192307692,0.403226551,0.326970309,0.001323283,0.619354839
B,tkan,2,2,kotekar,0.467948718,0.520053476,0.555314171,0.666666667,0.113636364,0.194174757,0.407698214,0.335904092,-0.020949483,0.612903226
B,tkan,3,3,kotekar,0.564102564,0.5,0.49239639,0.564102564,1,0.721311475,0.407482222,0.335534036,-0.019868135,0.619354839
B,tkan,4,4,kotekar,0.564102564,0.5,0.531082888,0.564102564,1,0.721311475,0.406557095,0.333025038,-0.015242457,0.6
B,tkan,5,5,kotekar,0.461538462,0.506016043,0.559993316,0.583333333,0.159090909,0.25,0.403539584,0.325051129,-0.000227928,0.612903226
B,tkan,6,6,kotekar,0.423076923,0.455213904,0.553475936,0.473684211,0.204545455,0.285714286,0.405241503,0.33164379,-0.008682489,0.612903226
B,tkan,7,7,kotekar,0.448717949,0.49131016,0.561580882,0.538461538,0.159090909,0.245614035,0.412359081,0.342012227,-0.044426322,0.612903226
B,tkan,8,8,kotekar,0.564102564,0.5,0.469752674,0.564102564,1,0.721311475,0.403464617,0.325733423,0.000143766,0.6
B,tkan,9,9,kotekar,0.564102564,0.5,0.509441845,0.564102564,1,0.721311475,0.409875828,0.337803215,-0.031885028,0.6
B,tkan,10,10,kotekar,0.564102564,0.5,0.510528075,0.564102564,1,0.721311475,0.418221246,0.346451104,-0.074332833,0.6
B,tkan,11,11,kotekar,0.564102564,0.5,0.542613636,0.564102564,1,0.721311475,0.403541523,0.326473027,-0.000237465,0.6
B,tkan,12,12,kotekar,0.442307692,0.472259358,0.555397727,0.512195122,0.238636364,0.325581395,0.406072266,0.332610577,-0.012822509,0.606451613
B,tkan,13,13,kotekar,0.564102564,0.5,0.556985294,0.564102564,1,0.721311475,0.405700918,0.33161658,-0.01097095,0.6
B,tkan,14,14,kotekar,0.564102564,0.5,0.552473262,0.564102564,1,0.721311475,0.408863227,0.33656925,-0.026792765,0.6
B,tkan,15,15,kotekar,0.564102564,0.5,0.459057487,0.564102564,1,0.721311475,0.403660499,0.327022225,-0.000827312,0.6
B,tkan,16,16,kotekar,0.564102564,0.5,0.549381684,0.564102564,1,0.721311475,0.404834114,0.329534173,-0.006655574,0.6
B,tkan,17,17,kotekar,0.564102564,0.5,0.486129679,0.564102564,1,0.721311475,0.403499314,0.325888306,-2.83E-05,0.6
B,tkan,18,18,kotekar,0.461538462,0.507687166,0.552974599,0.590909091,0.147727273,0.236363636,0.4139164,0.343083531,-0.052330017,0.619354839
B,tkan,19,19,kotekar,0.564102564,0.5,0.496574198,0.564102564,1,0.721311475,0.411582918,0.34005335,-0.040498257,0.6
B,tkan,20,20,kotekar,0.564102564,0.5,0.555147059,0.564102564,1,0.721311475,0.403481551,0.324978381,5.98E-05,0.6
B,tkan,21,21,kotekar,0.416666667,0.449532086,0.53559492,0.459459459,0.193181818,0.272,0.405955795,0.333092362,-0.012241602,0.619354839
B,tkan,22,22,kotekar,0.442307692,0.472259358,0.556149733,0.512195122,0.238636364,0.325581395,0.407784462,0.335933357,-0.021381617,0.612903226
B,tkan,23,23,kotekar,0.442307692,0.472259358,0.557152406,0.512195122,0.238636364,0.325581395,0.407555573,0.33522284,-0.0202353,0.606451613
B,tkan,24,24,kotekar,0.429487179,0.464237968,0.549632353,0.485714286,0.193181818,0.276422764,0.408105592,0.336247683,-0.022990942,0.606451613
