config,metric,mean,max,std
A,accuracy,0.5962264150943395,0.5962264150943396,1.1292025708167404e-16
A,balanced_accuracy,0.5,0.5,0.0
A,auc,0.5065144524626365,0.572429906542056,0.03922675321243922
A,precision,0.5962264150943395,0.5962264150943396,1.1292025708167404e-16
A,recall,1.0,1.0,0.0
A,f1,0.7470449172576831,0.7470449172576832,1.1292025708167404e-16
A,rmse,0.7779370186430017,0.7826392600724217,0.0026319089705151366
A,mae,0.6038805862267812,0.6088073253631592,0.002877427477105363
A,r2,-0.015502905845642043,-0.0001039505004882,0.0068657367709993155
B,accuracy,0.5962264150943395,0.5962264150943396,1.1292025708167404e-16
B,balanced_accuracy,0.5,0.5,0.0
B,auc,0.5467575614180371,0.5885188690405774,0.04480333615102303
B,precision,0.5962264150943395,0.5962264150943396,1.1292025708167404e-16
B,recall,1.0,1.0,0.0
B,f1,0.7470449172576831,0.7470449172576832,1.1292025708167404e-16
B,rmse,0.7767255749546539,0.7810104384292539,0.0028689117053621637
B,mae,0.602724156777064,0.6072050929069519,0.0031174423870447224
B,r2,-0.012344735860824551,0.001733124256134,0.007471058420069335
C,accuracy,0.6766037735849056,0.7056603773584905,0.020837947505050088
C,balanced_accuracy,0.6552910209393112,0.6849934934342836,0.01769093468183033
C,auc,0.7133581765842502,0.7470720454276588,0.01491119032783512
C,precision,0.7133749917999854,0.74375,0.014468033437736711
C,recall,0.7660337552742618,0.8670886075949367,0.05304395221937042
C,f1,0.7377650912738533,0.7719298245614035,0.02462532096592978
C,rmse,0.7215789108088628,0.7324837213471533,0.007709386284540018
C,mae,0.5562943438688914,0.5649513602256775,0.007023149226684096
C,r2,0.12621813019116718,0.1696230173110962,0.018583290964507407
D,accuracy,0.670188679245283,0.7056603773584905,0.02017830925639684
D,balanced_accuracy,0.6633355021885722,0.7064060097006979,0.03477718214316365
D,auc,0.7155329468827635,0.7392050159706615,0.04708020193751357
D,precision,0.7396615327623235,0.7846153846153846,0.033776160522472565
D,recall,0.6989451476793248,1.0,0.06676795407859455
D,f1,0.7157383928927399,0.7470449172576832,0.017766084314492944
D,rmse,0.6693846250722815,0.7728719088267219,0.02056061199546316
D,mae,0.5079089989264806,0.5960907340049744,0.01723263932627618
D,r2,0.24745093584060668,0.2778286337852478,0.049292325444923214
E,accuracy,0.6630188679245284,0.6867924528301886,0.015099218469816041
E,balanced_accuracy,0.6551608896249852,0.6750561930675499,0.011287684440264106
E,auc,0.7167928546078315,0.7325801490595055,0.00858958356738289
E,precision,0.7277462935431512,0.7642276422764228,0.012766377483849034
E,recall,0.6959915611814346,0.7848101265822784,0.04640473840255167
E,f1,0.7104857780831076,0.7447447447447447,0.022399491327526756
E,rmse,0.6806396450968212,0.7153296981617243,0.012582657641799562
E,mae,0.5205105721950531,0.5440971255302429,0.009780489664738974
E,r2,0.2223836640516917,0.2689135670661926,0.02905010417175879
F,accuracy,0.6451572327044025,0.6830188679245283,0.02144950121108476
F,balanced_accuracy,0.6411875468275563,0.6798769667573643,0.017349764624671044
F,auc,0.706273906699791,0.7223470957056667,0.008590209755568698
F,precision,0.7217939623671378,0.7542372881355932,0.01962638580416339
F,recall,0.6618143459915611,0.7721518987341772,0.06564129306248281
F,f1,0.6882339746438049,0.7384615384615385,0.03360975479070435
F,rmse,0.6993904185760986,0.7379597362425785,0.013211011576025153
F,mae,0.5289543112119038,0.5535421371459961,0.01132331407621658
F,r2,0.1789368232091268,0.2191135287284851,0.031314863689220075
G,accuracy,0.6754716981132075,0.6754716981132075,
G,balanced_accuracy,0.6735478528333136,0.6735478528333136,
G,auc,0.7281438542529279,0.7281438542529279,
G,precision,0.75,0.75,
G,recall,0.6835443037974683,0.6835443037974683,
G,f1,0.7152317880794702,0.7152317880794702,
G,rmse,,,
G,mae,,,
G,r2,,,
